vehicle_reg_No,MYT_TIMESTAMP,longitude,latitude
WB2225C,2023-09-01T14:39:37,101.705833,2.75208
WB2225C,2023-09-01T14:40:07,101.705833,2.75208
WB2225C,2023-09-01T14:40:37,101.706009,2.75213
WB2225C,2023-09-01T14:41:07,101.706009,2.75218
WB2225C,2023-09-01T14:41:37,101.706169,2.7522
WB2225C,2023-09-01T14:42:07,101.706169,2.7522
WB2225C,2023-09-01T14:42:37,101.706169,2.75222
WB2225C,2023-09-01T14:43:07,101.706169,2.75222
WB2225C,2023-09-01T14:43:37,101.706169,2.75222
WB2225C,2023-09-01T14:44:37,101.705498,2.75193
WB2225C,2023-09-01T14:45:07,101.705658,2.75175
WB2225C,2023-09-01T14:45:37,101.705658,2.75187
WB2225C,2023-09-01T14:46:37,101.705833,2.75192
WB2225C,2023-09-01T14:47:07,101.706009,2.75192
WB2225C,2023-09-01T14:47:37,101.705833,2.75195
WB2225C,2023-09-01T14:48:07,101.705833,2.75202
WB2225C,2023-09-01T14:48:37,101.705833,2.75203
WB2225C,2023-09-01T14:49:07,101.706009,2.75203
WB2225C,2023-09-01T14:49:37,101.706009,2.75205
WB2225C,2023-09-01T14:50:07,101.706009,2.75207
WB2225C,2023-09-01T14:50:37,101.706169,2.75208
WB2225C,2023-09-01T14:51:07,101.706009,2.75207
WB2225C,2023-09-01T14:51:37,101.706009,2.7521
WB2225C,2023-09-01T14:52:07,101.706009,2.75208
WB2225C,2023-09-01T14:52:37,101.706169,2.75217
WB2225C,2023-09-01T14:53:07,101.706169,2.75225
WB2225C,2023-09-01T14:54:07,101.706169,2.75223
WB2225C,2023-09-01T14:57:37,101.712662,2.74823
WB2225C,2023-09-01T14:58:07,101.712662,2.74818
WB2225C,2023-09-01T14:58:37,101.712662,2.7482
WB2225C,2023-09-01T15:02:07,101.705498,2.75192
WB2225C,2023-09-01T15:02:37,101.705658,2.75178
WB2225C,2023-09-01T15:03:07,101.705833,2.75178
WB2225C,2023-09-01T15:03:37,101.705833,2.75185
WB2225C,2023-09-01T15:04:07,101.705833,2.75188
WB2225C,2023-09-01T15:04:37,101.705833,2.75197
WB2225C,2023-09-01T15:05:07,101.705833,2.75198
WB2225C,2023-09-01T15:05:37,101.705833,2.75198
WB2225C,2023-09-01T15:06:07,101.705833,2.75195
WB2225C,2023-09-01T15:07:07,101.706009,2.75217
WB2225C,2023-09-01T15:07:37,101.706009,2.75222
WB2225C,2023-09-01T15:08:07,101.706009,2.75225
WB2225C,2023-09-01T15:08:37,101.706009,2.75225
WB2225C,2023-09-01T15:09:07,101.706169,2.75225
WB2225C,2023-09-01T15:09:37,101.706169,2.75227
WB2225C,2023-09-01T15:10:07,101.706009,2.75227
WB2225C,2023-09-01T15:10:37,101.706169,2.75227
WB2225C,2023-09-01T15:11:07,101.706169,2.75225
WB2225C,2023-09-01T15:12:07,101.705498,2.75195
WB2225C,2023-09-01T15:12:37,101.705658,2.75187
WB2225C,2023-09-01T15:13:07,101.705658,2.75188
WB2225C,2023-09-01T15:13:37,101.705833,2.75183
WB2225C,2023-09-01T15:14:37,101.706169,2.75178
WB2225C,2023-09-01T15:14:37,101.706169,2.75178
WB2225C,2023-09-01T15:16:07,101.706009,2.75177
WB2225C,2023-09-01T15:16:37,101.705833,2.75185
WB2225C,2023-09-01T15:17:07,101.705833,2.75177
WB2225C,2023-09-01T15:18:37,101.705833,2.7518
WB2225C,2023-09-01T15:19:07,101.705658,2.7519
WB2225C,2023-09-01T15:19:37,101.705833,2.75197
WB2225C,2023-09-01T15:20:07,101.705833,2.75202
WB2225C,2023-09-01T15:20:37,101.706009,2.75205
WB2225C,2023-09-01T15:21:07,101.706169,2.75208
WB2225C,2023-09-01T15:21:37,101.706169,2.75223
WB2225C,2023-09-01T15:22:07,101.706009,2.75222
WB2225C,2023-09-01T15:22:37,101.706009,2.75222
WB2225C,2023-09-01T15:23:07,101.706009,2.75213
WB2225C,2023-09-01T15:23:37,101.706009,2.75203
WB2225C,2023-09-01T15:24:07,101.706169,2.75213
WB2225C,2023-09-01T15:24:37,101.706169,2.75222
WB2225C,2023-09-01T15:25:07,101.706169,2.75222
WB2225C,2023-09-01T15:25:37,101.706169,2.75222
