vehicle_reg_No,MYT_TIMESTAMP,longitude,latitude
WA9451M,2023-09-01T19:05:29,101.706009,2.75198
WA9451M,2023-09-01T19:05:59,101.706009,2.75202
WA9451M,2023-09-01T19:06:29,101.706009,2.752
WA9451M,2023-09-01T19:07:29,101.705833,2.75205
WA9451M,2023-09-01T19:07:59,101.705833,2.75195
WA9451M,2023-09-01T19:08:59,101.706009,2.75203
WA9451M,2023-09-01T19:09:29,101.706009,2.75205
WA9451M,2023-09-01T19:09:59,101.706009,2.75207
WA9451M,2023-09-01T19:10:29,101.706009,2.7521
WA9451M,2023-09-01T19:10:59,101.706009,2.75212
WA9451M,2023-09-01T19:11:29,101.706169,2.75208
WA9451M,2023-09-01T19:11:59,101.706009,2.75217
WA9451M,2023-09-01T19:12:29,101.706169,2.75223
WA9451M,2023-09-01T19:12:59,101.706169,2.75225
WA9451M,2023-09-01T19:13:59,101.70649,2.75222
WA9451M,2023-09-01T19:14:29,101.706329,2.75223
WA9451M,2023-09-01T19:14:59,101.706169,2.75225
WA9451M,2023-09-01T19:15:29,101.706169,2.75225
WA9451M,2023-09-01T19:16:29,0.0,0.0
WA9451M,2023-09-01T19:18:59,101.712662,2.74843
WA9451M,2023-09-01T19:19:29,101.71283,2.74838
WA9451M,2023-09-01T19:19:59,101.712662,2.74813
WA9451M,2023-09-01T19:20:29,101.712502,2.74798
WA9451M,2023-09-01T19:23:59,0.0,0.0
WA9451M,2023-09-01T19:24:59,101.705658,2.75198
WA9451M,2023-09-01T19:25:29,101.705658,2.75205
WA9451M,2023-09-01T19:25:59,101.705833,2.75207
WA9451M,2023-09-01T19:26:30,101.705833,2.75205
WA9451M,2023-09-01T19:27:29,101.705833,2.75217
WA9451M,2023-09-01T19:27:59,101.706009,2.75215
WA9451M,2023-09-01T19:28:29,101.706009,2.75215
WA9451M,2023-09-01T19:28:59,101.706009,2.75215
WA9451M,2023-09-01T19:29:29,101.706009,2.75213
WA9451M,2023-09-01T19:29:59,101.706009,2.75213
WA9451M,2023-09-01T19:30:29,101.706009,2.75213
WA9451M,2023-09-01T19:30:59,101.706009,2.75215
WA9451M,2023-09-01T19:31:29,101.706009,2.75212
WA9451M,2023-09-01T19:31:59,101.706009,2.75215
WA9451M,2023-09-01T19:32:29,101.706009,2.75215
WA9451M,2023-09-01T19:32:59,101.706009,2.75213
WA9451M,2023-09-01T19:33:29,101.706009,2.7522
WA9451M,2023-09-01T19:33:59,101.706009,2.7522
WA9451M,2023-09-01T19:34:29,101.706009,2.7522
WA9451M,2023-09-01T19:34:59,101.706009,2.75218
WA9451M,2023-09-01T19:35:59,101.705658,2.752
WA9451M,2023-09-01T19:36:29,101.705658,2.75192
WA9451M,2023-09-01T19:36:59,101.705658,2.752
WA9451M,2023-09-01T19:37:29,101.705658,2.75198
WA9451M,2023-09-01T19:37:59,101.705833,2.75198
WA9451M,2023-09-01T19:38:29,101.705833,2.75202
WA9451M,2023-09-01T19:38:59,101.705833,2.752
WA9451M,2023-09-01T19:39:29,101.705833,2.75192
WA9451M,2023-09-01T19:39:59,101.705833,2.75195
WA9451M,2023-09-01T19:40:29,101.705833,2.75212
WA9451M,2023-09-01T19:40:59,101.705833,2.75225
WA9451M,2023-09-01T19:41:29,101.705833,2.7522
WA9451M,2023-09-01T19:41:59,101.706009,2.75225
WA9451M,2023-09-01T19:42:29,101.706009,2.7522
WA9451M,2023-09-01T19:43:29,101.706009,2.75228
WA9451M,2023-09-01T19:43:59,101.706169,2.75223
WA9451M,2023-09-01T19:44:29,101.706169,2.75223
WA9451M,2023-09-01T19:44:59,101.706169,2.75225
WA9451M,2023-09-01T19:45:29,101.706169,2.75222
WA9451M,2023-09-01T19:45:59,101.706169,2.75225
WA9451M,2023-09-01T19:46:29,101.706169,2.75225
WA9451M,2023-09-01T19:47:59,0.0,0.0
WA9451M,2023-09-01T19:50:59,101.71283,2.74837
WA9451M,2023-09-01T19:51:29,101.71283,2.74835
WA9451M,2023-09-01T19:55:59,101.705833,2.75197
WA9451M,2023-09-01T19:56:29,101.705833,2.752
WA9451M,2023-09-01T19:56:59,101.705658,2.75198
WA9451M,2023-09-01T19:57:29,101.705833,2.75208
WA9451M,2023-09-01T19:57:59,101.705833,2.75208
WA9451M,2023-09-01T19:58:29,101.705833,2.75205
WA9451M,2023-09-01T19:58:59,101.705833,2.75198
WA9451M,2023-09-01T19:59:29,101.706009,2.75213
WA9451M,2023-09-01T19:59:59,101.706009,2.75222
WA9451M,2023-09-01T20:00:29,101.706009,2.75218
WA9451M,2023-09-01T20:00:59,101.706009,2.75217
WA9451M,2023-09-01T20:01:29,101.706009,2.75217
WA9451M,2023-09-01T20:01:59,101.706009,2.7522
WA9451M,2023-09-01T20:02:29,101.706009,2.75227
WA9451M,2023-09-01T20:02:59,101.706009,2.75223
WA9451M,2023-09-01T20:03:29,101.706009,2.75215
WA9451M,2023-09-01T20:03:59,101.706009,2.75222
WA9451M,2023-09-01T20:04:29,101.706009,2.75223
WA9451M,2023-09-01T20:04:59,101.706009,2.7522
WA9451M,2023-09-01T20:05:29,101.706009,2.75218
WA9451M,2023-09-01T20:05:59,101.706009,2.75218
WA9451M,2023-09-01T20:06:29,101.706009,2.7522
WA9451M,2023-09-01T20:06:59,101.706009,2.75215
WA9451M,2023-09-01T20:07:59,101.705498,2.75195
WA9451M,2023-09-01T20:08:29,101.705658,2.75195
WA9451M,2023-09-01T20:08:59,101.705658,2.75193
WA9451M,2023-09-01T20:09:29,101.705833,2.75195
WA9451M,2023-09-01T20:09:59,101.705833,2.75183
