vehicle_reg_No,longitude,latitude
WB2995B,101.705833,2.75183
WB3150B,101.706329,2.7521
WB654L,101.710823,2.74632
WB3642M,101.706009,2.7522
WB3150B,101.706329,2.7521
WB654L,101.710342,2.74542
WB3642M,101.706009,2.75218
WB3150B,101.706329,2.75208
WB654L,101.70916,2.74668
WB3642M,101.706169,2.75215
WB3150B,101.70649,2.75207
WB3642M,101.705833,2.75223
WB654L,101.707497,2.74905
WB2995B,101.705658,2.75222
WB3150B,101.706841,2.75087
WB654L,101.706009,2.75123
WB3642M,101.705833,2.75187
WB3150B,101.708839,2.74788
WB3642M,101.705498,2.75198
WB3150B,101.710342,2.74622
WB3642M,101.705498,2.7519
WB3150B,101.71183,2.74722
WB3150B,101.712341,2.74857
WB654L,101.705833,2.75205
WB2995B,101.706009,2.7522
WB3150B,101.71283,2.7485
WB3642M,101.706009,2.75165
WB654L,101.706009,2.75212
WB2995B,101.706169,2.75223
WB3150B,101.71283,2.7484
WB654L,101.705833,2.75217
WB3642M,101.705833,2.75167
WB2995B,101.706009,2.7522
WB3150B,101.712502,2.74763
WB654L,101.705833,2.75222
WB3642M,101.705322,2.75228
WB2995B,101.706009,2.7522
WB3150B,101.711166,2.74672
WB654L,101.705833,2.75213
WB3642M,101.705833,2.75203
WB2995B,101.706169,2.75222
WB3150B,101.710663,2.74562
WB654L,101.706009,2.75212
WB3642M,101.705658,2.75203
WB2995B,101.706169,2.75222
WB3150B,101.709511,2.7461
WB654L,101.705833,2.75213
WB3642M,101.705322,2.75235
WB2995B,101.706169,2.75223
WB3150B,101.707672,2.74888
WB654L,101.706009,2.75212
WB2995B,101.706169,2.75222
WB3150B,101.705658,2.75145
WB654L,101.706009,2.7521
WB2995B,101.706169,2.75223
WB3150B,101.705658,2.75193
WB654L,101.706009,2.7521
WB2995B,101.706169,2.7523
WB654L,101.705833,2.75215
WB3642M,101.705498,2.75227
WB2995B,101.706169,2.75223
WB654L,101.705833,2.7521
WB3642M,101.705322,2.75228
WB2995B,101.705833,2.7519
WB654L,101.706169,2.75215
WB3642M,101.705322,2.75235
WB2995B,101.705498,2.75202
WA9451M,101.706169,2.75233
WB654L,101.705498,2.75193
WB3642M,101.705322,2.75247
WB2995B,101.705658,2.75183
WA9451M,101.706009,2.75235
WB654L,101.705498,2.75202
WB3642M,101.704674,2.75358
WA9451M,101.706009,2.75237
WB2995B,101.705658,2.75182
WB654L,101.705322,2.75202
WB2995B,101.705658,2.75187
WA9451M,101.706169,2.75233
WB654L,101.705322,2.752
WB3642M,101.705498,2.7522
WB2995B,101.705658,2.75183
WA9451M,101.706169,2.75232
WB654L,101.705498,2.75192
WB3642M,101.705498,2.75223
WB2995B,101.705658,2.75187
WA9451M,101.706169,2.7523
WB654L,101.705498,2.75187
WB3642M,101.705658,2.75215
WB2995B,101.705658,2.75185
WA9451M,101.706169,2.75233
WB654L,101.705498,2.75188
WB3642M,101.705833,2.75203
WA9451M,101.706169,2.75233
WB2995B,101.705658,2.75185
WB654L,101.705498,2.75195
WB3642M,101.705833,2.75203
WB2995B,101.705658,2.75185
WA9451M,101.706009,2.75235
WB654L,101.705498,2.75192
WB3642M,101.705658,2.75208
WB2995B,101.705658,2.75177
WA9451M,101.706009,2.75235
WB654L,101.705498,2.75193
WB3642M,101.705658,2.75208
WB2995B,101.705658,2.75182
WA9451M,101.706009,2.75232
WB654L,101.705498,2.75192
WB2995B,101.705658,2.7518
WA9451M,101.70649,2.7512
WB654L,101.705498,2.75193
WB3642M,101.705833,2.75222
WB2995B,101.705658,2.75185
WB654L,101.705498,2.75187
WB3642M,101.706169,2.7519
WB2995B,101.705833,2.75185
WA9451M,101.712158,2.74738
WA9451M,101.712662,2.74797
WA9451M,101.712662,2.7486
WA9451M,101.71283,2.74832
WA9451M,101.712662,2.74813
WA9451M,101.712502,2.74767
WA9451M,101.711327,2.74682
WA9451M,101.710663,2.74573
WA9451M,101.709343,2.74628
WA9451M,101.707672,2.74883
WB3642M,101.705658,2.75237
WA9451M,101.705833,2.75145
WB3642M,101.705833,2.75233
WB2995B,101.705498,2.75243
WA9451M,101.705658,2.75195
WB654L,101.705498,2.75228
WB3642M,101.705658,2.75237
WB3642M,101.705658,2.75238
WB2995B,101.705833,2.75215
WB3642M,101.705658,2.75237
WB3642M,101.705658,2.7523
WA9451M,101.706169,2.75173
WB3642M,101.70649,2.75105
WB2995B,101.706009,2.75217
WA9451M,101.705833,2.75197
WB654L,101.705833,2.75215
WB3642M,101.708504,2.7481
WB2995B,101.706009,2.75218
WA9451M,101.705833,2.75198
WB654L,101.706009,2.75203
WB3642M,101.709991,2.74618
WB2995B,101.706009,2.75213
WA9451M,101.705833,2.75202
WB654L,101.706009,2.752
WB3642M,101.71183,2.74723
WB2995B,101.706009,2.7521
WA9451M,101.705833,2.75218
WB654L,101.705833,2.75212
WB2995B,101.705833,2.75215
WB3642M,101.712502,2.74855
WA9451M,101.706009,2.7523
WB654L,101.705833,2.75212
WB3642M,101.712662,2.74863
WB2995B,101.705833,2.75218
WA9451M,101.706009,2.75233
WB654L,101.705833,2.75215
WB3642M,101.712502,2.7483
WB2995B,101.705833,2.7522
WA9451M,101.706009,2.75233
WB654L,101.705833,2.75215
WB3642M,101.712158,2.74768
WB2995B,101.705833,2.75218
WA9451M,101.706009,2.75233
WB654L,101.705833,2.75218
WB3642M,101.710999,2.74705
WB2995B,101.705833,2.7522
WA9451M,101.706009,2.75233
WB3642M,101.710823,2.74575
WB654L,101.705833,2.75213
WB2995B,101.706009,2.75228
WA9451M,101.706169,2.7522
WB654L,101.705833,2.75217
WB3642M,101.709511,2.7458
WB2995B,101.706009,2.75233
WA9451M,101.705498,2.75197
WB654L,101.706169,2.75188
WB3642M,101.708168,2.74818
WB2995B,101.706009,2.75237
WA9451M,101.705498,2.75193
WB654L,101.706329,2.75188
WB3642M,101.706329,2.75067
WB2995B,101.706009,2.7524
WA9451M,101.705498,2.75188
WB654L,101.706169,2.75197
WB3642M,101.705658,2.75195
WB2995B,101.706009,2.75242
WA9451M,101.705498,2.75192
WB654L,101.706009,2.75217
WB3642M,101.705658,2.75197
WB2995B,101.706009,2.75242
WA9451M,101.705498,2.75198
WB654L,101.706009,2.75218
WB3642M,101.705833,2.7519
WB2995B,101.706169,2.75218
WA9451M,101.705498,2.75202
WB654L,101.706009,2.75227
WB3642M,101.705658,2.75197
WB8743F,101.705658,2.75185
WA9451M,101.705833,2.75205
WB654L,101.706009,2.7523
WB3642M,101.705833,2.75207
WB2995B,101.709671,2.74658
WB8743F,101.705498,2.75195
WA9451M,101.705833,2.75203
WB654L,101.706169,2.75232
WB3642M,101.705658,2.7522
WB8743F,101.705498,2.75193
WB2995B,101.71151,2.74697
WA9451M,101.705833,2.752
WB654L,101.706009,2.75233
WB3642M,101.705498,2.7522
WB2995B,101.712502,2.74837
WB8743F,101.705498,2.75195
WA9451M,101.706009,2.75188
WB654L,101.706009,2.75232
WB3642M,101.705833,2.752
WB2995B,101.71283,2.74858
WB8743F,101.705498,2.75198
WA9451M,101.706009,2.75193
WB654L,101.706009,2.75237
WB3642M,101.705833,2.75208
WB2995B,101.71283,2.74847
WB8743F,101.705498,2.75192
WA9451M,101.706009,2.75188
WB654L,101.705833,2.75238
WB3642M,101.705833,2.75212
WB2995B,101.71283,2.74823
WB8743F,101.705498,2.75175
WA9451M,101.706009,2.75188
WB654L,101.706009,2.75233
WB3642M,101.706009,2.75195
WB2995B,101.71151,2.74702
WB8743F,101.705498,2.75173
WA9451M,101.705833,2.75192
WB654L,101.706169,2.7522
WB3642M,101.706009,2.75203
WB2995B,101.710663,2.74568
WB8743F,101.705498,2.75185
WA9451M,101.705833,2.75197
WB3642M,101.706009,2.75225
WB2995B,101.709343,2.7464
WB8743F,101.705658,2.75185
WA9451M,101.705833,2.75198
WB654L,101.709343,2.747
WB3642M,101.705833,2.75225
WB8743F,101.705658,2.7519
WA9451M,101.705833,2.752
WB654L,101.711166,2.74678
WB3642M,101.705833,2.75233
WB2995B,101.705498,2.75168
WB8743F,101.705658,2.75195
WA9451M,101.705833,2.75203
WB654L,101.712662,2.74822
WB3642M,101.705833,2.75232
WB2995B,101.705658,2.75195
WB8743F,101.705833,2.75193
WA9451M,101.705658,2.75208
WB654L,101.71283,2.74862
WB3642M,101.705658,2.75237
WB2995B,101.705833,2.75193
WA9451M,101.705833,2.75212
WB8743F,101.705833,2.75187
WB654L,101.712997,2.74855
WB3642M,101.705833,2.7523
WB2995B,101.705833,2.75188
WB8743F,101.706009,2.75192
WA9451M,101.705833,2.7521
WB654L,101.712997,2.74848
WB3642M,101.705833,2.75243
WB2995B,101.705833,2.75195
WB8743F,101.706009,2.75193
WA9451M,101.705833,2.75218
WB654L,101.71283,2.74835
WB3642M,101.705658,2.75247
WB2995B,101.705833,2.75198
WB8743F,101.706009,2.75197
WA9451M,101.705833,2.75207
WB654L,101.712502,2.74803
WB3642M,101.705833,2.75248
WB2995B,101.705833,2.75198
WB8743F,101.705833,2.75208
WA9451M,101.705833,2.7522
WB654L,101.712158,2.7478
WB3642M,101.706009,2.75237
WB2995B,101.705833,2.75198
WB8743F,101.705833,2.75208
